id,state_name,constituency_name,state_name_dm,constituency_name_dm
112,Haryana-S07,Sirsa,haryana,sirsa
113,Haryana-S07,Hisar,haryana,hisar
114,Haryana-S07,Karnal,haryana,karnal
115,Haryana-S07,Sonipat,haryana,sonipat
116,Haryana-S07,Rohtak,haryana,rohtak
117,Haryana-S07,Bhiwani-Mahendragarh,haryana,bhiwani-mahendragarh
118,Haryana-S07,Gurgaon,haryana,gurgaon
119,Haryana-S07,Faridabad,haryana,faridabad
120,Himachal Pradesh-S08,Kangra,himachal pradesh,kangra
121,Himachal Pradesh-S08,Mandi,himachal pradesh,mandi
122,Himachal Pradesh-S08,Hamirpur,himachal pradesh,hamirpur
123,Himachal Pradesh-S08,Shimla,himachal pradesh,shimla
124,Jammu & Kashmir-S09,Baramulla,jammu & kashmir,baramulla
125,Jammu & Kashmir-S09,Srinagar,jammu & kashmir,srinagar
126,Jammu & Kashmir-S09,Anantnag,jammu & kashmir,anantnag
127,Jammu & Kashmir-S09,Ladakh,jammu & kashmir,ladakh
128,Jammu & Kashmir-S09,Udhampur,jammu & kashmir,udhampur
129,Jammu & Kashmir-S09,Jammu,jammu & kashmir,jammu
130,Karnataka-S10,Chikkodi,karnataka,chikodi
131,Karnataka-S10,Belgaum,karnataka,belagavi
132,Karnataka-S10,Bagalkot,karnataka,bagalkot
133,Karnataka-S10,Bijapur,karnataka,bijapur
134,Karnataka-S10,Gulbarga,karnataka,gulbarga
135,Karnataka-S10,Raichur,karnataka,raichur
136,Karnataka-S10,Bidar,karnataka,bidar
137,Karnataka-S10,Koppal,karnataka,koppal
138,Karnataka-S10,Bellary,karnataka,bellary
139,Karnataka-S10,Haveri,karnataka,haveri
140,Karnataka-S10,Dharwad,karnataka,dharwad
141,Karnataka-S10,Uttara Kannada,karnataka,uttara kannada
142,Karnataka-S10,Davanagere,karnataka,davangere
143,Karnataka-S10,Shimoga,karnataka,shimoga
144,Karnataka-S10,Udupi Chikmagalur,karnataka,udupi chikmagalur
145,Karnataka-S10,Hassan,karnataka,haasan
146,Karnataka-S10,Dakshina Kannada,karnataka,dakshina kannada
147,Karnataka-S10,Chitradurga,karnataka,chitradurga
148,Karnataka-S10,Tumkur,karnataka,tumkur
149,Karnataka-S10,Mandya,karnataka,mandya
150,Karnataka-S10,Mysore,karnataka,mysore
151,Karnataka-S10,Chamarajanagar,karnataka,chamarajanagar
152,Karnataka-S10,Bangalore Rural,karnataka,bangalore rural
153,Karnataka-S10,Bangalore North,karnataka,bangalore north
154,Karnataka-S10,Bangalore central,karnataka,bangalore central
155,Karnataka-S10,Bangalore South,karnataka,bangalore south
156,Karnataka-S10,Chikkballapur,karnataka,chikballapur
157,Karnataka-S10,Kolar,karnataka,kolar
158,Kerala-S11,Kasaragod,kerala,kasaragod
159,Kerala-S11,Kannur,kerala,kannur
160,Kerala-S11,Vadakara,kerala,vadakara
161,Kerala-S11,Wayanad,kerala,wayanad
162,Kerala-S11,Kozhikode,kerala,kozhikode
163,Kerala-S11,Malappuram,kerala,malappuram
164,Kerala-S11,Ponnani,kerala,ponnani
165,Kerala-S11,Palakkad,kerala,palakkad
166,Kerala-S11,Alathur,kerala,alathur
167,Kerala-S11,Thrissur,kerala,thrissur
168,Kerala-S11,Chalakudy,kerala,chalakudy
169,Kerala-S11,Ernakulam,kerala,ernakulam
170,Kerala-S11,Idukki,kerala,idukki
171,Kerala-S11,Kottayam,kerala,kottayam
172,Kerala-S11,Alappuzha,kerala,alappuzha
173,Kerala-S11,Mavelikkara,kerala,mavelikara
174,Kerala-S11,Pathanamthitta,kerala,pathanamthitta
175,Kerala-S11,Kollam,kerala,kollam
176,Kerala-S11,Attingal,kerala,attingal
177,Kerala-S11,Thiruvananthapuram,kerala,thiruvananthapuram
178,Madhya Pradesh-S12,MORENA,madhya pradesh,morena
179,Madhya Pradesh-S12,BHIND,madhya pradesh,bhind
