id,state_name,constituency_name,state_name_dm,constituency_name_dm
452,West Bengal-S25,Murshidabad,west bengal,murshidabad
453,West Bengal-S25,Krishnanagar,west bengal,krishnanagar
454,West Bengal-S25,Ranaghat,west bengal,ranaghat
455,West Bengal-S25,Bangaon,west bengal,bangaon
456,West Bengal-S25,Barrackpore,west bengal,barrackpore
457,West Bengal-S25,Dum dum,west bengal,dum dum
458,West Bengal-S25,Barasat,west bengal,barasat
459,West Bengal-S25,Basirhat,west bengal,basirhat
460,West Bengal-S25,Jaynagar,west bengal,jaynagar
461,West Bengal-S25,Mathurapur,west bengal,mathurapur
462,West Bengal-S25,Diamond harbour,west bengal,diamond harbour
463,West Bengal-S25,Jadavpur,west bengal,jadavpur
464,West Bengal-S25,Kolkata Dakshin,west bengal,kolkata dakshin
465,West Bengal-S25,Kolkata Uttar,west bengal,kolkata uttar
466,West Bengal-S25,Howrah,west bengal,howrah
467,West Bengal-S25,Uluberia,west bengal,uluberia
468,West Bengal-S25,Srerampur,west bengal,sreerampur
469,West Bengal-S25,Hooghly,west bengal,hooghly
470,West Bengal-S25,Arambagh,west bengal,arambagh
471,West Bengal-S25,Tamluk,west bengal,tamluk
472,West Bengal-S25,Kanthi,west bengal,kanthi
473,West Bengal-S25,Ghatal,west bengal,ghatal
474,West Bengal-S25,Jhargram,west bengal,jhargram
475,West Bengal-S25,Medinipur,west bengal,medinipur
476,West Bengal-S25,Purulia,west bengal,purulia
477,West Bengal-S25,Bankura,west bengal,bankura
478,West Bengal-S25,Bishnupur,west bengal,bishnupur
479,West Bengal-S25,Bardhaman Purba,west bengal,bardhaman purba
480,West Bengal-S25,Bardhaman Durgapur,west bengal,bardhaman-durgapur
481,West Bengal-S25,Asansol,west bengal,asansol
482,West Bengal-S25,Bolpur,west bengal,bolpur
483,West Bengal-S25,Birbhum,west bengal,birbhum
484,Chhattisgarh-S26,SARGUJA,chhattisgarh,surguja
485,Chhattisgarh-S26,RAIGARH,chhattisgarh,raigarh
486,Chhattisgarh-S26,JANJGIR-CHAMPA,chhattisgarh,janjgir
487,Chhattisgarh-S26,KORBA,chhattisgarh,korba
488,Chhattisgarh-S26,BILASPUR,chhattisgarh,bilaspur
489,Chhattisgarh-S26,RAJNANDGAON,chhattisgarh,rajnandgaon
490,Chhattisgarh-S26,DURG,chhattisgarh,durg
491,Chhattisgarh-S26,RAIPUR,chhattisgarh,raipur
492,Chhattisgarh-S26,MAHASAMUND,chhattisgarh,mahasamund
493,Chhattisgarh-S26,BASTAR,chhattisgarh,bastar
494,Chhattisgarh-S26,KANKER,chhattisgarh,kanker
495,Jharkhand-S27,Rajmahal,jharkhand,rajmahal
496,Jharkhand-S27,Dumka,jharkhand,dumka
497,Jharkhand-S27,Godda,jharkhand,godda
498,Jharkhand-S27,Chatra,jharkhand,chatra
499,Jharkhand-S27,Kodarma,jharkhand,kodarma
500,Jharkhand-S27,Giridih,jharkhand,giridih
501,Jharkhand-S27,Dhanbad,jharkhand,dhanbad
502,Jharkhand-S27,Ranchi,jharkhand,ranchi
503,Jharkhand-S27,Jamshedpur,jharkhand,jamshedpur
504,Jharkhand-S27,Singhbhum,jharkhand,singhbhum
505,Jharkhand-S27,Khunti,jharkhand,khunti
506,Jharkhand-S27,Lohardaga,jharkhand,lohardaga
507,Jharkhand-S27,Palamau,jharkhand,palamu
508,Jharkhand-S27,Hazaribagh,jharkhand,hazaribagh
509,Uttarakhand-S28,Tehri Garhwal,uttarakhand,tehri garhwal
510,Uttarakhand-S28,Garhwal,uttarakhand,garhwal
511,Uttarakhand-S28,Almora,uttarakhand,almora
512,Uttarakhand-S28,Nainital-udhamsingh Nagar,uttarakhand,nainital-udhamsingh nagar
513,Uttarakhand-S28,Hardwar,uttarakhand,haridwar
514,Telangana-S29,Adilabad,telangana,adilabad
515,Telangana-S29,Peddapalle,telangana,peddapalli
516,Telangana-S29,Karimnagar,telangana,karimnagar
517,Telangana-S29,Nizamabad,telangana,nizamabad
518,Telangana-S29,Zahirabad,telangana,zahirabad
519,Telangana-S29,Medak,telangana,medak
520,Telangana-S29,Malkajgiri,telangana,malkajgiri
521,Telangana-S29,Secundrabad,telangana,secunderabad
522,Telangana-S29,Hyderabad,telangana,hyderabad
523,Telangana-S29,CHEVELLA,telangana,chevella
524,Telangana-S29,Mahbubnagar,telangana,mahabubnagar
525,Telangana-S29,Nagarkurnool,telangana,nagarkurnool
526,Telangana-S29,Nalgonda,telangana,nalgonda
527,Telangana-S29,Bhongir,telangana,bhuvanagiri
528,Telangana-S29,Warangal,telangana,warangal
529,Telangana-S29,Mahabubabad,telangana,mahabubabad
530,Telangana-S29,Khammam,telangana,khammam
531,Andaman & Nicobar Islands-U01,Andaman & Nicobar Islands,andaman & nicobar islands,andaman and nicobar islands
532,Chandigarh-U02,CHANDIGARH,chandigarh,chandigarh
533,Dadra & Nagar Haveli-U03,Dadra And Nagar Haveli,dadra & nagar haveli,dadra and nagar haveli
534,Daman & Diu-U04,Daman & diu,daman & diu,daman and diu
535,NCT OF Delhi-U05,CHANDNI CHOWK,delhi,chandni chowk
536,NCT OF Delhi-U05,NORTH EAST DELHI,delhi,north east delhi
537,NCT OF Delhi-U05,EAST DELHI,delhi,east delhi
538,NCT OF Delhi-U05,NEW DELHI,delhi,new delhi
539,NCT OF Delhi-U05,NORTH WEST DELHI,delhi,north west delhi
540,NCT OF Delhi-U05,WEST DELHI,delhi,west delhi
541,NCT OF Delhi-U05,SOUTH DELHI,delhi,south delhi
542,Lakshadweep-U06,Lakshadweep,lakshadweep,lakshadweep
543,Puducherry-U07,Puducherry,puducherry,puducherry
