sheet,state_name,constituency_name,number_of_polling_stations,dates_polling,dates_counting,dates_results,result_winner_name,result_winner_party,result_winner_votes,result_runner_up_name,result_runner_up_party,result_runner_up_votes,result_margin,candidate_Nominated_m,candidate_Nomination Rejected_m,candidate_Withdrawn_m,candidate_Contested_m,candidate_Forfeited Deposit_m,candidate_Nominated_w,candidate_Nomination Rejected_w,candidate_Withdrawn_w,candidate_Contested_w,candidate_Forfeited Deposit_w,candidate_Nominated_t,candidate_Nomination Rejected_t,candidate_Withdrawn_t,candidate_Contested_t,candidate_Forfeited Deposit_t,candidate_Nominated_total,candidate_Nomination Rejected_total,candidate_Withdrawn_total,candidate_Contested_total,candidate_Forfeited Deposit_total,elector_General_m,elector_OverSeas_m,elector_Service_m,elector_Total_m,elector_General_w,elector_OverSeas_w,elector_Service_w,elector_Total_w,elector_General_t,elector_OverSeas_t,elector_Service_t,elector_Total_t,elector_General_total,elector_OverSeas_total,elector_Service_total,elector_Total_total,voter_General_m,voter_Overseas_m,voter_Proxy_m,voter_Postal_m,voter_Total_m,voter_Votes Rejected due to other Reason_m,voter_POLLING PERCENTAGE_m,voter_General_w,voter_Overseas_w,voter_Proxy_w,voter_Postal_w,voter_Total_w,voter_Votes Rejected due to other Reason_w,voter_POLLING PERCENTAGE_w,voter_General_t,voter_Overseas_t,voter_Proxy_t,voter_Postal_t,voter_Total_t,voter_Votes Rejected due to other Reason_t,voter_POLLING PERCENTAGE_t,voter_General_total,voter_Overseas_total,voter_Proxy_total,voter_Postal_total,voter_Total_total,voter_Votes Rejected due to other Reason_total,voter_POLLING PERCENTAGE_total,votes_Total Votes Polled On EVM,votes_Total Deducted Votes From EVM,votes_Total Valid Votes polled on EVM,votes_Postal Votes Counted,votes_Postal Votes Deducted,votes_Valid Postal Votes,votes_Total Valid Votes Polled,votes_Test Votes polled On EVM,votes_Votes Polled for 'NOTA'(Including Postal),votes_Tendered Votes
S10-5,Karnataka-S10,Gulbarga-SC,2157,23/04/2019,23/05/2019,23/05/2019,DR. UMESH G JADHAV,Bharatiya Janata Party,620192,MALLIKARJUN KHARGE,Indian National Congress,524740,95452,21,2,7,12,10,0,0,0,0,0,0,0,0,0,0,21,2,7,12,10,980105,NA,463,980568,964845,0,11,964856,341,0,0,341,1945291,0,474,1945765,610885,0,NA,NA,NA,NA,NA,574754,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,1185645,0,0,4826,1190471,0,61.130000000000003,1185645,10482,1175163,4826,1115,3711,1178874,0,10487,0
S10-6,Karnataka-S10,Raichur-ST,2184,23/04/2019,23/05/2019,23/05/2019,RAJA AMARESHWARA NAIK,Bharatiya Janata Party,598337,B. V NAIK,Indian National Congress,480621,117716,8,2,1,5,3,0,0,0,0,0,0,0,0,0,0,8,2,1,5,3,955586,37,315,955938,971805,88,6,971899,367,0,0,367,1927758,125,321,1928204,575578,0,NA,NA,NA,NA,NA,546569,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1122152,0,0,2810,1124962,0,58.310000000000002,1122152,14914,1107238,2810,584,2226,1109464,0,14921,0
S10-7,Karnataka-S10,Bidar-GEN,1999,23/04/2019,23/05/2019,23/05/2019,BHAGWANTH KHUBA,Bharatiya Janata Party,585471,ESHWAR B. KHANDRE,Indian National Congress,468637,116834,33,8,4,21,19,2,0,1,1,1,0,0,0,0,0,35,8,5,22,20,918595,NA,1153,919748,855214,0,30,855244,103,0,0,103,1773912,0,1183,1775095,577170,0,NA,NA,NA,NA,NA,536980,0,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1114152,0,0,4103,1118255,0,62.939999999999998,1114152,1946,1112206,4103,1090,3013,1115219,0,1948,0
S10-8,Karnataka-S10,Koppal-GEN,2033,23/04/2019,23/05/2019,23/05/2019,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,586783,K.RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,548386,38397,17,1,2,14,12,0,0,0,0,0,0,0,0,0,0,17,1,2,14,12,862466,NA,560,863026,873539,0,15,873554,113,0,0,113,1736118,0,575,1736693,606297,0,NA,NA,NA,NA,NA,581406,0,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1187710,0,0,2917,1190627,0,68.540000000000006,1187710,10800,1176910,2917,293,2624,1179534,0,10813,0
S10-9,Karnataka-S10,Bellary-ST,1925,23/04/2019,23/05/2019,23/05/2019,Y. DEVENDRAPPA,Bharatiya Janata Party,616388,V. S. UGRAPPA,Indian National Congress,560681,55707,14,2,1,11,9,0,0,0,0,0,0,0,0,0,0,14,2,1,11,9,870900,NA,423,871323,880165,0,14,880179,232,0,0,232,1751297,0,437,1751734,621814,0,NA,NA,NA,NA,NA,597246,0,NA,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,1219077,0,0,2908,1221985,0,69.760000000000005,1219077,9016,1210061,2908,67,2841,1212902,0,9024,0
S10-10,Karnataka-S10,Haveri-GEN,1972,23/04/2019,23/05/2019,23/05/2019,UDASI. S.C.,Bharatiya Janata Party,683660,D.R. PATIL,Indian National Congress,542778,140882,19,3,6,10,8,0,0,0,0,0,0,0,0,0,0,19,3,6,10,8,871259,NA,1569,872828,835569,0,32,835601,81,0,0,81,1706909,0,1601,1708510,661429,0,NA,NA,NA,NA,NA,601867,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1263296,0,0,4592,1267888,0,74.140000000000001,1263296,7402,1255894,4592,1219,3373,1259267,0,7412,0
S10-11,Karnataka-S10,Dharwad-GEN,1872,23/04/2019,23/05/2019,23/05/2019,Pralhad Joshi,Bharatiya Janata Party,684837,Vinay Kulkarni,Indian National Congress,479765,205072,24,2,4,18,16,2,1,0,1,1,0,0,0,0,0,26,3,4,19,17,875491,NA,1905,877396,849758,0,51,849809,106,0,0,106,1725355,0,1956,1727311,640913,0,NA,NA,NA,NA,NA,569597,0,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA,1210518,0,0,3620,1214138,0,70.25,1210518,3503,1207015,3620,642,2978,1209993,0,3512,12
S10-12,Karnataka-S10,Uttara Kannada-GEN,1922,23/04/2019,23/05/2019,23/05/2019,ANANTKUMAR HEGDE,Bharatiya Janata Party,786042,ANAND ASNOTIKAR,Janata Dal  (Secular),306393,479649,15,2,2,11,9,2,0,0,2,2,0,0,0,0,0,17,2,2,13,11,786411,NA,4091,790502,766050,0,25,766075,22,0,0,22,1552483,0,4116,1556599,591099,0,NA,NA,NA,NA,NA,559157,0,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1150261,0,0,4129,1154390,0,74.099999999999994,1150261,15997,1134264,4129,930,3199,1137463,0,16017,1
S10-13,Karnataka-S10,Davanagere-GEN,1949,23/04/2019,23/05/2019,23/05/2019,G M SIDDESHWAR,Bharatiya Janata Party,652996,H B MANJAPPA,Indian National Congress,483294,169702,27,1,1,25,23,1,1,0,0,0,0,0,0,0,0,28,2,1,25,23,822593,NA,592,823185,809744,0,6,809750,129,0,0,129,1632466,0,598,1633064,617489,0,NA,NA,NA,NA,NA,574795,0,NA,NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,1192293,0,0,2932,1195225,0,73.150000000000006,1192293,3091,1189202,2932,646,2286,1191488,0,3098,0
S10-14,Karnataka-S10,Shimoga-GEN,2021,23/04/2019,23/05/2019,23/05/2019,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,729872,S.MADHUBANGARAPPA,Janata Dal  (Secular),506512,223360,14,NA,2,12,10,0,0,0,0,0,0,0,0,0,0,14,0,2,12,10,831183,NA,690,831873,844743,0,2,844745,50,0,0,50,1675976,0,692,1676668,641691,0,NA,NA,NA,NA,NA,640582,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,1282279,0,0,1788,1284067,0,76.560000000000002,1282279,6862,1275417,1788,496,1292,1276709,0,6868,2
S10-15,Karnataka-S10,Udupi Chikmagalur-GEN,1837,18/04/2019,23/05/2019,23/05/2019,SHOBHA KARANDLAJE,Bharatiya Janata Party,718916,PRAMOD MADHWARAJ,Janata Dal  (Secular),369317,349599,13,NA,2,11,10,1,0,0,1,0,0,0,0,0,0,14,0,2,12,10,738389,114,562,739065,774623,51,13,774687,54,0,0,54,1513066,165,575,1513806,563331,10,NA,NA,NA,NA,NA,585784,1,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1149120,11,0,2492,1151623,0,76.030000000000001,1149131,7502,1141629,2492,619,1873,1143502,0,7510,4
S10-16,Karnataka-S10,Hassan-GEN,2235,18/04/2019,23/05/2019,23/05/2019,PRAJWAL REVANNA,Janata Dal  (Secular),676606,MANJU A,Bharatiya Janata Party,535282,141324,10,3,1,6,4,0,0,0,0,0,0,0,0,0,0,10,3,1,6,4,831698,NA,2144,833842,819073,0,39,819112,45,0,0,45,1650816,0,2183,1652999,644500,0,NA,NA,NA,NA,NA,629935,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1274438,0,0,4215,1278653,0,77.290000000000006,1274438,11641,1262797,4215,1122,3093,1265890,0,11662,1
S10-17,Karnataka-S10,Dakshina Kannada-GEN,1861,18/04/2019,23/05/2019,23/05/2019,NALIN KUMAR KATEEL,Bharatiya Janata Party,774285,MITHUN M RAI,Indian National Congress,499664,274621,15,1,1,13,11,0,0,0,0,0,0,0,0,0,0,15,1,1,13,11,845217,89,480,845786,879018,32,38,879088,102,0,0,102,1724337,121,518,1724976,653558,5,NA,NA,NA,NA,NA,689629,0,NA,NA,NA,NA,NA,21,0,NA,NA,NA,NA,NA,1343208,5,0,2134,1345347,0,77.969999999999999,1343213,7375,1335838,2134,313,1821,1337659,0,7380,0
S10-18,Karnataka-S10,Chitradurga-SC,2161,18/04/2019,23/05/2019,23/05/2019,A NARAYANASWAMY,Bharatiya Janata Party,626195,B N CHANDRAPPA,Indian National Congress,546017,80178,24,1,4,19,17,0,0,0,0,0,0,0,0,0,0,24,1,4,19,17,889236,NA,502,889738,870772,0,20,870792,103,0,0,103,1760111,0,522,1760633,639390,0,NA,NA,NA,NA,NA,603639,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,1243035,0,0,3471,1246506,0,70.769999999999996,1243035,4348,1238687,3471,576,2895,1241582,0,4368,0
S10-19,Karnataka-S10,Tumkur-GEN,1907,18/04/2019,23/05/2019,23/05/2019,G. S. BASAVARAJ,Bharatiya Janata Party,596127,H. D. DEVEGOWDA,Janata Dal  (Secular),582788,13339,21,4,4,13,11,2,0,0,2,2,0,0,0,0,0,23,4,4,15,13,803006,NA,526,803532,804874,0,19,804893,120,0,0,120,1608000,0,545,1608545,630450,0,NA,NA,NA,NA,NA,611065,0,NA,NA,NA,NA,NA,13,0,NA,NA,NA,NA,NA,1241528,0,0,3941,1245469,0,77.390000000000001,1241528,10285,1231243,3941,621,3320,1234563,0,10295,0
S10-20,Karnataka-S10,Mandya-GEN,2046,18/04/2019,23/05/2019,23/05/2019,SUMALATHA AMBAREESH,Independent,703660,NIKHIL KUMARASWAMY,Janata Dal  (Secular),577784,125876,23,1,4,18,17,4,0,0,4,3,0,0,0,0,0,27,1,4,22,20,854753,NA,799,855552,856282,0,23,856305,147,0,0,147,1711182,0,822,1712004,695384,0,NA,NA,NA,NA,NA,680954,0,NA,NA,NA,NA,NA,28,0,NA,NA,NA,NA,NA,1376366,0,0,3256,1379622,0,80.560000000000002,1376366,3518,1372848,3256,420,2836,1375684,0,3526,1
S10-21,Karnataka-S10,Mysore-GEN,2187,18/04/2019,23/05/2019,23/05/2019,PRATHAP SIMHA,Bharatiya Janata Party,688974,C.H.VIJAYASHANKAR,Indian National Congress,550327,138647,27,5,3,19,17,3,0,0,3,3,0,0,0,0,0,30,5,3,22,20,944585,NA,1872,946457,949649,0,77,949726,150,0,0,150,1894384,0,1949,1896333,664932,0,NA,NA,NA,NA,NA,647532,0,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,1312478,0,0,5625,1318103,0,69.5,1312478,5319,1307159,5625,89,5536,1312695,0,5346,7
S10-22,Karnataka-S10,Chamarajanagar-SC,2005,18/04/2019,23/05/2019,23/05/2019,V. SRINIVAS PRASAD,Bharatiya Janata Party,568537,R. DHRUVANARAYANA,Indian National Congress,566720,1817,13,1,2,10,8,0,0,0,0,0,0,0,0,0,0,13,1,2,10,8,842742,NA,308,843050,843167,0,2,843169,114,0,0,114,1686023,0,310,1686333,646902,0,NA,NA,NA,NA,NA,620802,0,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,NA,1267715,0,0,3010,1270725,0,75.349999999999994,1267715,12706,1255009,3010,77,2933,1257942,0,12716,4
S10-23,Karnataka-S10,Bangalore Rural-GEN,2672,18/04/2019,23/05/2019,23/05/2019,D.K. SURESH,Indian National Congress,878258,ASHWATHNARAYANGOWDA,Bharatiya Janata Party,671388,206870,20,3,3,14,12,1,0,0,1,1,0,0,0,0,0,21,3,3,15,13,1287524,NA,300,1287824,1209276,0,17,1209293,341,0,0,341,2497141,0,317,2497458,831105,0,NA,NA,NA,NA,NA,789254,0,NA,NA,NA,NA,NA,39,0,NA,NA,NA,NA,NA,1620398,0,0,2426,1622824,0,64.939999999999998,1620398,12442,1607956,2426,930,1496,1609452,0,12454,0
S10-24,Karnataka-S10,Bangalore North-GEN,2656,18/04/2019,23/05/2019,23/05/2019,D.V. Sadananda Gowda,Bharatiya Janata Party,824500,Krishna Byregowda,Indian National Congress,676982,147518,36,5,1,30,28,2,1,0,1,1,0,0,0,0,0,38,6,1,31,29,1481421,NA,566,1481987,1366690,0,77,1366767,496,0,0,496,2848607,0,643,2849250,805444,0,NA,NA,NA,NA,NA,750147,0,NA,NA,NA,NA,NA,103,0,NA,NA,NA,NA,NA,1555694,0,0,4630,1560324,0,54.729999999999997,1555694,11617,1544077,4630,880,3750,1547827,0,11632,22
S10-25,Karnataka-S10,Bangalore central-GEN,2082,18/04/2019,23/05/2019,23/05/2019,P. C. Mohan,Bharatiya Janata Party,602853,Rizwan Arshad,Indian National Congress,531885,70968,27,4,2,21,19,2,1,0,1,1,0,0,0,0,0,29,5,2,22,20,1145820,NA,353,1146173,1058214,0,33,1058247,397,0,0,397,2204431,0,386,2204817,621875,0,NA,NA,NA,NA,NA,572763,0,NA,NA,NA,NA,NA,67,0,NA,NA,NA,NA,NA,1194705,0,0,2982,1197687,0,54.299999999999997,1194705,10741,1183964,2982,472,2510,1186474,0,10760,26
S10-26,Karnataka-S10,Bangalore South-GEN,2131,18/04/2019,23/05/2019,23/05/2019,TEJASVI SURYA,Bharatiya Janata Party,739229,B.K.HARIPRASAD,Indian National Congress,408037,331192,34,9,1,24,22,1,0,0,1,1,0,0,0,0,0,35,9,1,25,23,1153458,NA,82,1153540,1061593,0,12,1061605,344,0,0,344,2215395,0,94,2215489,616311,0,NA,NA,NA,NA,NA,568793,0,NA,NA,NA,NA,NA,33,0,NA,NA,NA,NA,NA,1185137,0,0,4520,1189657,0,53.640000000000001,1185137,9917,1175220,4520,1187,3333,1178553,0,9938,12
S10-27,Karnataka-S10,Chikkballapur-GEN,2284,18/04/2019,23/05/2019,23/05/2019,B.N.Bache Gowda,Bharatiya Janata Party,745912,M.Veerappa Moily,Indian National Congress,563802,182110,21,6,3,12,10,4,1,0,3,3,0,0,0,0,0,25,7,3,15,13,910472,NA,364,910836,897681,0,25,897706,238,0,0,238,1808391,0,389,1808780,706576,0,NA,NA,NA,NA,NA,678457,0,NA,NA,NA,NA,NA,36,0,NA,NA,NA,NA,NA,1385069,0,0,2918,1387987,0,76.680000000000007,1385069,8015,1377054,2918,1034,1884,1378938,0,8025,0
S10-28,Karnataka-S10,Kolar-SC,2100,18/04/2019,23/05/2019,23/05/2019,S. MUNISWAMY,Bharatiya Janata Party,709165,K.H. MUNIYAPPA,Indian National Congress,499144,210021,23,3,6,14,12,0,0,0,0,0,0,0,0,0,0,23,3,6,14,12,816475,NA,1157,817632,812149,0,22,812171,158,0,0,158,1628782,0,1179,1629961,642572,0,NA,NA,NA,NA,NA,613779,0,NA,NA,NA,NA,NA,20,0,NA,NA,NA,NA,NA,1256371,0,0,2722,1259093,0,77.209999999999994,1256371,13873,1242498,2722,558,2164,1244662,0,13889,0
S11-1,Kerala-S11,Kasaragod-GEN,1317,23/04/2019,23/05/2019,23/05/2019,Rajmohan Unnithan,Indian National Congress,474961,K. P. Sathishchandran,Communist Party of India  (Marxist),434523,40438,11,NA,2,9,7,0,0,0,0,0,0,0,0,0,0,11,0,2,9,7,651754,4679,3021,659454,704213,179,89,704481,2,0,0,2,1355969,4858,3110,1363937,507338,204,NA,NA,NA,NA,NA,588600,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1095939,204,0,3956,1100099,0,80.650000000000006,1096143,4391,1091752,3956,74,3882,1095634,0,4417,67
S11-2,Kerala-S11,Kannur-GEN,1172,23/04/2019,23/05/2019,23/05/2019,K. SUDHAKARAN,Indian National Congress,529741,P. K. SREEMATHI TEACHER,Communist Party of India  (Marxist),435182,94559,12,3,1,8,7,5,0,0,5,4,0,0,0,0,0,17,3,1,13,11,590697,6612,4261,601570,664543,287,145,664975,4,1,0,5,1255244,6900,4406,1266550,484739,160,NA,NA,NA,NA,NA,562999,26,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1047739,186,0,6821,1054746,0,83.209999999999994,1047925,3801,1044124,6821,931,5890,1050014,0,3828,15
S11-3,Kerala-S11,Vadakara-GEN,1180,23/04/2019,23/05/2019,23/05/2019,K. MURALEEDHARAN,Indian National Congress,526755,P.JAYARAJAN,Communist Party of India  (Marxist),442092,84663,14,1,1,12,10,1,1,0,0,0,0,0,0,0,0,15,2,1,12,10,586699,30310,2607,619616,668091,1132,69,669292,10,8,0,18,1254800,31450,2676,1288926,464900,20742,NA,NA,NA,NA,NA,574460,735,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1039361,21477,0,5094,1065932,0,82.670000000000002,1060838,3398,1057440,5094,330,4764,1062204,0,3415,9
S11-4,Kerala-S11,Wayanad-GEN,1311,23/04/2019,23/05/2019,23/05/2019,Rahul Gandhi,Indian National Congress,706367,P.P. Suneer,Communist Party of India,274597,431770,21,1,1,19,17,2,1,0,1,1,0,0,0,0,0,23,2,1,20,18,670255,2756,1796,674807,684612,195,64,684871,1,0,0,1,1354868,2951,1860,1359679,529017,57,NA,NA,NA,NA,NA,560841,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1089858,57,0,2844,1092759,0,80.329999999999998,1089915,2132,1087783,2844,585,2259,1090042,0,2155,45
S11-5,Kerala-S11,Kozhikode-GEN,1159,23/04/2019,23/05/2019,23/05/2019,M.K.RAGHAVAN,Indian National Congress,493444,A.PRADEEP KUMAR,Communist Party of India  (Marxist),408219,85225,17,3,1,13,11,2,1,0,1,1,0,0,0,0,0,19,4,1,14,12,633679,5433,2582,641694,675817,411,87,676315,14,1,0,15,1309510,5845,2669,1318024,511159,2430,NA,NA,NA,NA,NA,557674,263,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,1068840,2693,0,5349,1076882,0,81.650000000000006,1071533,3456,1068077,5349,706,4643,1072720,0,3473,13
S11-6,Kerala-S11,Malappuram-GEN,1195,23/04/2019,23/05/2019,23/05/2019,P.K. Kunhalikutty,Indian Union Muslim League,589873,V.P. Sanu,Communist Party of India  (Marxist),329720,260153,13,5,0,8,6,1,1,0,0,0,0,0,0,0,0,14,6,0,8,6,684475,5972,648,691095,679216,212,18,679446,2,1,0,3,1363693,6185,666,1370544,496251,58,NA,NA,NA,NA,NA,536683,5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1032934,63,0,1802,1034799,0,75.489999999999995,1032997,4464,1028533,1802,197,1605,1030138,0,4480,15
S11-7,Kerala-S11,Ponnani-GEN,1148,23/04/2019,23/05/2019,23/05/2019,E. T. Mohammed Basheer,Indian Union Muslim League,521824,P.V. Anvar Puthan Veetil,Independent,328551,193273,14,3,2,9,7,4,1,0,3,3,0,0,0,0,0,18,4,2,12,10,662055,10704,369,673128,683322,321,26,683669,4,2,0,6,1345381,11027,395,1356803,466320,92,NA,NA,NA,NA,NA,549916,12,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1016237,104,0,1025,1017366,0,74.980000000000004,1016341,6223,1010118,1025,109,916,1011034,0,6231,34
S11-8,Kerala-S11,Palakkad-GEN,1330,23/04/2019,23/05/2019,23/05/2019,V K SREEKANDAN,Indian National Congress,399274,M B RAJESH,Communist Party of India  (Marxist),387637,11637,13,3,1,9,6,0,0,0,0,0,0,0,0,0,0,13,3,1,9,6,642339,2673,2215,647227,675510,153,115,675778,4,1,0,5,1317853,2827,2330,1323010,494457,12,NA,NA,NA,NA,NA,531513,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1025971,12,0,2891,1028874,0,77.719999999999999,1025983,6646,1019337,2891,644,2247,1021584,0,6665,0
S11-9,Kerala-S11,Alathur -SC,1135,23/04/2019,23/05/2019,23/05/2019,RAMYA HARIDAS,Indian National Congress,533815,DR. P.K.BIJU,Communist Party of India  (Marxist),374847,158968,7,1,1,5,4,3,2,0,1,0,0,0,0,0,0,10,3,1,6,4,617906,723,2216,620845,645752,86,107,645945,4,0,0,4,1263662,809,2323,1266794,493218,22,NA,NA,NA,NA,NA,522650,0,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1015870,22,0,3484,1019376,0,80.420000000000002,1015892,7681,1008211,3484,674,2810,1011021,0,7722,0
S11-10,Kerala-S11,Thrissur-GEN,1258,23/04/2019,23/05/2019,23/05/2019,T. N. PRATHAPAN,Indian National Congress,415089,RAJAJI MATHEW THOMAS,Communist Party of India,321456,93633,13,4,1,8,5,0,0,0,0,0,0,0,0,0,0,13,4,1,8,5,641271,1671,641,643583,693194,246,70,693510,17,0,0,17,1334482,1917,711,1337110,488577,42,NA,NA,NA,NA,NA,551691,3,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,1040273,45,0,1804,1042122,0,77.920000000000002,1040318,4243,1036075,1804,263,1541,1037616,0,4253,16
S11-11,Kerala-S11,Chalakudy-GEN,1182,23/04/2019,23/05/2019,23/05/2019,BENNY BEHANAN,Indian National Congress,473444,INNOCENT,Communist Party of India  (Marxist),341170,132274,14,2,1,11,9,2,0,0,2,2,0,0,0,0,0,16,2,1,13,11,597488,1726,651,599865,629983,271,70,630324,8,0,0,8,1227479,1997,721,1230197,482031,0,NA,NA,NA,NA,NA,506846,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,988883,0,0,1550,990433,0,80.489999999999995,988883,7568,981315,1550,219,1331,982646,0,7578,2
S11-12,Kerala-S11,Ernakulam-GEN,1108,23/04/2019,23/05/2019,23/05/2019,HIBI EDEN,Indian National Congress,491263,P RAJEEV,Communist Party of India  (Marxist),322110,169153,15,2,2,11,9,2,1,0,1,1,1,0,0,1,1,18,3,2,13,11,606425,773,571,607769,637917,206,67,638190,13,0,0,13,1244355,979,638,1245972,480105,0,NA,NA,NA,NA,NA,485690,0,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,965801,0,0,1589,967390,0,77.629999999999995,965801,5371,960430,1589,194,1395,961825,0,5378,10
S11-13,Kerala-S11,Idukki-GEN,1305,23/04/2019,23/05/2019,23/05/2019,Adv. DEAN KURIAKOSE,Indian National Congress,498493,"Adv, JOICE GEORGE",Independent,327440,171053,8,1,0,7,5,1,0,0,1,1,0,0,0,0,0,9,1,0,8,6,597546,536,857,598939,605061,112,76,605249,3,0,0,3,1202610,648,933,1204191,466073,5,NA,NA,NA,NA,NA,451489,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,917563,5,0,1991,919559,0,76.340000000000003,917568,5297,912271,1991,282,1709,913980,0,5317,18
S11-14,Kerala-S11,Kottayam-GEN,1198,23/04/2019,23/05/2019,23/05/2019,Thomas Chazhikadan,Kerala Congress  (M),421046,V.N. Vasavan,Communist Party of India  (Marxist),314787,106259,14,7,0,7,4,1,1,0,0,0,0,0,0,0,0,15,8,0,7,4,589563,703,1236,591502,614889,213,86,615188,8,0,0,8,1204460,916,1322,1206698,456617,13,NA,NA,NA,NA,NA,451084,2,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,907704,15,0,2929,910648,0,75.439999999999998,907719,7150,900569,2929,350,2579,903148,0,7191,15
S11-15,Kerala-S11,Alappuzha-GEN,1331,23/04/2019,23/05/2019,23/05/2019,Adv. A M ARIFF,Communist Party of India  (Marxist),445970,Adv. SHANIMOL OSMAN,Indian National Congress,435496,10474,13,2,0,11,9,1,0,0,1,0,0,0,0,0,0,14,2,0,12,9,651183,868,5078,657129,699219,129,218,699566,6,0,0,6,1350408,997,5296,1356701,519872,170,NA,NA,NA,NA,NA,562454,26,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1082326,196,0,7590,1090112,0,80.25,1082522,6065,1076457,7590,1423,6167,1082624,0,6104,12
S11-16,Kerala-S11,Mavelikkara -SC,1280,23/04/2019,23/05/2019,23/05/2019,KODIKUNNIL SURESH,Indian National Congress,440415,CHITTAYAM GOPAKUMAR,Communist Party of India,379277,61138,11,2,0,9,7,1,0,0,1,1,0,0,0,0,0,12,2,0,10,8,614853,1407,6823,623083,684532,274,212,685018,1,0,0,1,1299386,1681,7035,1308102,449785,355,NA,NA,NA,NA,NA,514082,66,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,963868,421,0,8071,972360,0,74.230000000000004,964289,5669,958620,8071,1410,6661,965281,0,5754,14
S11-17,Kerala-S11,Pathanamthitta-GEN,1437,23/04/2019,23/05/2019,23/05/2019,ANTO ANTONY,Indian National Congress,380927,VEENA GEORGE,Communist Party of India  (Marxist),336684,44243,9,3,0,6,4,2,0,0,2,1,0,0,0,0,0,11,3,0,8,5,659716,1984,3996,665696,716426,458,158,717042,3,0,0,3,1376145,2442,4154,1382741,490901,13,NA,NA,NA,NA,NA,531776,0,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1022680,13,0,4685,1027378,0,74.239999999999995,1022693,3334,1019359,4685,843,3842,1023201,0,3352,0
S11-18,Kerala-S11,Kollam-GEN,1212,23/04/2019,23/05/2019,23/05/2019,N.K.Premachandran,Revolutionary Socialist Party,499677,K.N.Balagopal,Communist Party of India  (Marxist),350821,148856,11,2,1,8,6,1,0,0,1,1,0,0,0,0,0,12,2,1,9,7,616081,1065,3940,621086,675338,144,144,675626,8,0,0,8,1291427,1209,4084,1296720,445672,0,NA,NA,NA,NA,NA,515612,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,961288,0,0,7729,969017,0,74.659999999999997,961289,5993,955296,7729,920,6809,962105,1,6018,27
S11-19,Kerala-S11,Attingal-GEN,1410,23/04/2019,23/05/2019,23/05/2019,Adv. ADOOR PRAKASH,Indian National Congress,380995,Dr. A. SAMPATH,Communist Party of India  (Marxist),342748,38247,20,2,2,16,14,3,0,0,3,2,0,0,0,0,0,23,2,2,19,16,628348,979,3927,633254,717208,92,142,717442,14,0,0,14,1345570,1071,4069,1350710,458911,10,NA,NA,NA,NA,NA,540333,0,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,999248,10,0,6790,1006048,0,74.400000000000006,999258,5644,993614,6790,1201,5589,999203,0,5685,18
