state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,voter_POLLING PERCENTAGE_total,result_margin,votes_Total Valid Votes Polled,state_name_updated,constituency_name_updated,constituency_type_updated,country,id
Assam-S03,Dibrugarh-GEN,S03-13,662634,649533,514418,499258,8,0,77.28,364566,994460,Assam,Dibrugarh,GEN,IN,40
Assam-S03,Lakhimpur-GEN,S03-14,866675,837730,651081,628945,11,0,75.15,350551,1268369,Assam,Lakhimpur,GEN,IN,41
Bihar-S04,Valmiki Nagar-GEN,S04-1,893428,770524,530289,499397,12,1,61.97,354616,997752,Bihar,Valmiki Nagar,GEN,IN,42
Bihar-S04,Paschim Champaran-GEN,S04-2,876758,754309,524330,483548,9,0,62,293906,967237,Bihar,Paschim Champaran,GEN,IN,43
Bihar-S04,Purvi Champaran-GEN,S04-3,881809,774609,502773,490037,21,1,60.25,293648,976694,Bihar,Purvi Champaran,GEN,IN,44
Bihar-S04,Sheohar-GEN,S04-4,895320,789406,500312,500529,17,1,59.57,340360,997542,Bihar,Sheohar,GEN,IN,45
Bihar-S04,Sitamarhi-GEN,S04-5,927085,823630,504721,529645,20,0,59.28,250539,1028531,Bihar,Sitamarhi,GEN,IN,46
Bihar-S04,Madhubani-GEN,S04-6,944657,846458,454516,507776,15,2,53.75,454940,958085,Bihar,Madhubani,GEN,IN,47
Bihar-S04,Jhanjharpur-GEN,S04-7,968797,881622,496451,562801,17,0,57.25,322951,1051359,Bihar,Jhanjharpur,GEN,IN,48
Bihar-S04,Supaul-GEN,S04-8,879230,810014,529157,580683,18,2,65.7,266853,1101462,Bihar,Supaul,GEN,IN,49
Bihar-S04,Araria-GEN,S04-9,949714,854807,575565,593532,11,1,64.78,137241,1149012,Bihar,Araria,GEN,IN,50
Bihar-S04,Kishanganj-GEN,S04-10,858904,800525,537374,563614,14,0,66.38,34466,1081881,Bihar,Kishanganj,GEN,IN,51
Bihar-S04,Katihar-GEN,S04-11,874742,777147,554254,562770,9,0,67.6,57203,1097150,Bihar,Katihar,GEN,IN,52
Bihar-S04,Purnia-GEN,S04-12,915126,848975,574694,578456,15,1,65.37,263461,1135371,Bihar,Purnia,GEN,IN,53
Bihar-S04,Madhepura-GEN,S04-13,974876,907763,552934,592789,13,0,60.87,301527,1108824,Bihar,Madhepura,GEN,IN,54
Bihar-S04,Darbhanga-GEN,S04-14,874949,778501,468623,493457,8,0,58.31,267979,944528,Bihar,Darbhanga,GEN,IN,55
Bihar-S04,Muzaffarpur-GEN,S04-15,920017,807730,532392,521572,20,2,61.14,409988,1048915,Bihar,Muzaffarpur,GEN,IN,56
Bihar-S04,Vaishali-GEN,S04-16,930061,803397,536923,535176,14,8,61.91,234584,1065513,Bihar,Vaishali,GEN,IN,57
Bihar-S04,Gopalganj (SC)-SC,S04-17,938734,898550,476256,539136,13,0,55.71,286434,973216,Bihar,Gopalganj (SC),SC,IN,58
Bihar-S04,Siwan-GEN,S04-18,938984,855346,471597,510554,15,4,54.73,116958,976324,Bihar,Siwan,GEN,IN,59
Bihar-S04,Maharajganj-GEN,S04-19,950889,849976,467023,501866,10,1,53.81,230772,950535,Bihar,Maharajganj,GEN,IN,60
Bihar-S04,Saran-GEN,S04-20,891660,770235,479986,458722,12,0,56.56,138411,914734,Bihar,Saran,GEN,IN,61
Bihar-S04,Hajipur (SC)-SC,S04-21,978961,839189,518835,485247,9,2,55.21,205449,981561,Bihar,Hajipur (SC),SC,IN,62
Bihar-S04,Ujiarpur-GEN,S04-22,858250,751176,478018,488760,17,1,60.12,277278,954850,Bihar,Ujiarpur,GEN,IN,63
Bihar-S04,Samastipur (SC)-SC,S04-23,890179,787449,496337,520796,10,1,60.69,251643,983608,Bihar,Samastipur (SC),SC,IN,64
Bihar-S04,Begusarai-GEN,S04-24,1039818,914604,603585,613828,10,0,62.58,422217,1205149,Bihar,Begusarai,GEN,IN,65
Bihar-S04,Khagaria-GEN,S04-25,882975,790342,467181,497927,18,2,57.67,248570,959217,Bihar,Khagaria,GEN,IN,66
Bihar-S04,Bhagalpur-GEN,S04-26,962350,856824,546334,493759,9,0,57.16,277630,1010951,Bihar,Bhagalpur,GEN,IN,67
Bihar-S04,Banka-GEN,S04-27,900736,795778,497999,496121,18,2,58.6,200532,989181,Bihar,Banka,GEN,IN,68
Bihar-S04,Munger-GEN,S04-28,1007651,872190,547935,483085,18,1,54.89,167937,1026526,Bihar,Munger,GEN,IN,69
Bihar-S04,Nalanda-GEN,S04-29,1118379,991283,559964,469057,32,3,48.76,256137,1022860,Bihar,Nalanda,GEN,IN,70
Bihar-S04,Patna Sahib-GEN,S04-30,1130795,1011936,548683,429918,15,3,45.77,284657,977209,Bihar,Patna Sahib,GEN,IN,71
Bihar-S04,Pataliputra-GEN,S04-31,1004864,913994,595000,478175,21,4,55.97,39321,1071173,Bihar,Pataliputra,GEN,IN,72
Bihar-S04,Arrah-GEN,S04-32,1133531,938782,607717,465201,11,0,51.72,147285,1058859,Bihar,Arrah,GEN,IN,73
Bihar-S04,Buxar-GEN,S04-33,961442,857613,543539,436752,15,0,53.95,117609,970414,Bihar,Buxar,GEN,IN,74
