state_name,constituency_name,sheet,elector_General_m,elector_General_w,voter_General_m,voter_General_w,candidate_Contested_m,candidate_Contested_w,polling_percentage,result_margin,votes_Total Valid Votes Polled,constituency_name_updated,constituency_type_updated,country,id,state_name_dm,constituency_name_dm,flag_more_women,eligible_vote_w,eligible_vote_m,flag_eligible_women,flag_contested_w,margin_ratio,state_name_updated,median_age,GENERAL,SC,ST,median_age_bucket,flag_contested_w_40
Jharkhand-S27,Jamshedpur-GEN,S27-9,871101,830183,590506,552796,19,4,67.18,302090,1138413,Jamshedpur,GEN,IN,503,jharkhand,jamshedpur,m,0.6658724642639032,0.6778846540183056,m,yes,26.536063801098546,Jharkhand,49,17,0,6,2,no
Jharkhand-S27,Singhbhum-ST,S27-10,634972,633132,441917,436562,7,2,69.24,72155,855059,Singhbhum,ST,IN,504,jharkhand,singhbhum,m,0.6895276182533816,0.695962971595598,m,yes,8.43859897387198,Jharkhand,35,0,0,9,1,no
Jharkhand-S27,Khunti-ST,S27-11,601003,598507,410870,419556,7,4,69.21,1445,811132,Khunti,ST,IN,505,jharkhand,khunti,w,0.7010043324472396,0.6836405142736393,w,yes,0.1781460970594182,Jharkhand,50,0,0,11,2,yes
Jharkhand-S27,Lohardaga-ST,S27-12,626099,601405,404489,409371,14,0,66.24,10363,806767,Lohardaga,ST,IN,506,jharkhand,lohardaga,w,0.6806910484615193,0.6460463920242645,w,no,1.2845096539645275,Jharkhand,45,0,0,14,2,no
Jharkhand-S27,Palamau-SC,S27-13,1011588,865466,626122,579847,17,2,64.3,477606,1203939,Palamau,SC,IN,507,jharkhand,palamu,m,0.6699824140983008,0.6189496118973337,w,yes,39.670282298355644,Jharkhand,40,0,19,0,1,no
Jharkhand-S27,Hazaribagh-GEN,S27-14,884348,780116,552495,526659,15,1,64.82,479548,1073390,Hazaribagh,GEN,IN,508,jharkhand,hazaribagh,m,0.6751034461541617,0.6247484022127036,w,yes,44.67602642096536,Jharkhand,42.5,14,1,1,1,no
Uttarakhand-S28,Tehri Garhwal-GEN,S28-1,775618,705545,428054,435743,13,2,58.66,300586,869793,Tehri Garhwal,GEN,IN,509,uttarakhand,tehri garhwal,w,0.6175977435882899,0.5518876560368635,w,yes,34.55833744350667,Uttarakhand,48,10,3,2,2,no
Uttarakhand-S28,Garhwal-GEN,S28-2,674627,646703,330296,391050,9,0,54.79,302669,730508,Garhwal,GEN,IN,510,uttarakhand,garhwal,w,0.6046825204150901,0.48959795561102654,w,no,41.432674248605075,Uttarakhand,50,9,0,0,2,no
Uttarakhand-S28,Almora-SC,S28-3,666962,642123,309061,368861,4,2,51.91,232986,678967,Almora,SC,IN,511,uttarakhand,almora,w,0.5744397880156917,0.4633862199045823,w,yes,34.31477523944463,Uttarakhand,52.5,0,6,0,2,yes
Uttarakhand-S28,Nainital-udhamsingh Nagar-GEN,S28-4,956194,862051,647658,601589,7,0,68.83,339096,1247962,Nainital-udhamsingh Nagar,GEN,IN,512,uttarakhand,nainital-udhamsingh nagar,m,0.6978577833562052,0.6773290775721245,w,no,27.171981198145456,Uttarakhand,65,5,2,0,4,no
